time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-31T20:59:02.500Z,-53.0266,-118.3468,10,5.1,mb,,37,30.62,0.85,us,us1000bymc,2018-03-17T01:54:41.040Z,"Southern East Pacific Rise",earthquake,13.7,1.8,0.053,117,reviewed,us,us
2017-12-31T20:27:49.390Z,-8.1161,68.0644,10,5.1,mww,,59,12.965,0.72,us,us1000bylw,2018-03-17T01:54:41.040Z,"Chagos Archipelago region",earthquake,6.5,1.8,0.062,25,reviewed,us,us
2017-12-31T14:53:31.580Z,5.4949,124.9006,30.8,5.1,mww,,60,1.703,1.01,us,us1000byj1,2018-03-17T01:54:40.040Z,"40km S of Daliao, Philippines",earthquake,6.7,4,0.073,18,reviewed,us,us
2017-12-31T14:51:58.200Z,-11.8634,165.4973,9.55,5.1,mb,,74,5.963,1.03,us,us1000byj2,2018-03-17T01:54:40.040Z,"132km SSW of Lata, Solomon Islands",earthquake,9.1,4.1,0.059,92,reviewed,us,us
2017-12-31T03:48:57.420Z,29.6759,129.3045,162.8,5,mww,,89,2.972,0.77,us,us1000byey,2018-03-17T01:54:40.040Z,"146km N of Naze, Japan",earthquake,7.6,4.2,0.065,23,reviewed,us,us
2017-12-30T08:20:51.530Z,-19.3429,-69.4283,103.33,5.2,mww,,95,0.392,1.03,us,us1000by24,2018-03-17T01:54:39.040Z,"122km NE of Iquique, Chile",earthquake,3.7,4.2,0.051,37,reviewed,us,us
2017-12-29T23:55:55.260Z,-5.4289,150.844,95.07,5.7,mww,,15,1.621,0.74,us,us1000bxyn,2018-03-17T01:54:39.040Z,"78km E of Kimbe, Papua New Guinea",earthquake,7,3.5,0.052,36,reviewed,us,us
2017-12-29T23:00:57.990Z,-52.8545,-118.4953,10,5,mb,,96,28.144,1.28,us,us2000ciyi,2018-03-17T01:54:38.040Z,"Southern East Pacific Rise",earthquake,14.1,1.9,0.105,29,reviewed,us,us
2017-12-29T21:20:53.180Z,-53.0916,-117.4105,10,5.7,mww,,29,27.246,0.64,us,us1000bxw9,2018-03-17T01:54:38.040Z,"Southern East Pacific Rise",earthquake,11.4,1.7,0.071,19,reviewed,us,us
2017-12-29T21:16:05.420Z,-53.0722,-117.9645,10,5,mb,,57,27.569,1.23,us,us2000ciye,2018-03-17T01:54:38.040Z,"Southern East Pacific Rise",earthquake,12.7,1.9,0.084,45,reviewed,us,us
2017-12-29T11:29:37.610Z,8.4361,92.415,17.07,5.1,mww,,58,3.215,0.8,us,us1000bxm9,2018-03-17T01:54:38.040Z,"112km WNW of Mohean, India",earthquake,7.4,3.9,0.086,13,reviewed,us,us
